ownerid,parcelid,name,address1,address2,city,StateCode,PostalCode,CountryCode,DateAcquired,OwnDoc,SalePrice,Status,Instrument,InstrumentType,url,sortdate
39670676,480606,O.I.C. HOMES AT 1711 NASSAU STREET,,,,TN,,US,11/26/25,MA-20251201 0094855,,Active,MA-20251201 0094855,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202512010094855,1.76E+12
39663019,480378,O.I.C.  HOMES AT 254 BELL RD,809 RAGSDALE CT,,NASHVILLE,TN,37214,US,11/21/25,MA-20251121 0093409,0,Active,MA-20251121 0093409,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511210093409,1.76E+12
39663245,480381,O.I.C. TENTEN CLEMMONS STREET,650 WEDGEWOOD AVE,,NASHVILLE,TN,37203,US,11/21/25,MA-20251124 0093770,,Active,MA-20251124 0093770,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511240093770,1.76E+12
39663248,480384,O.I.C. HOMES AT TWENTY SIX NINETEEN OLD BUENA VISTA ROAD,3805 WOODARD DR,,NASHVILLE,TN,37207,US,11/21/25,MA-20251125 0093801,,Active,MA-20251125 0093801,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511250093801,1.76E+12
39663312,480386,O.I.C. TESSA MADISON,,,,TN,,US,11/21/25,MA-20251125 0094212,,Active,MA-20251125 0094212,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511250094212,1.76E+12
39671697,480712,O.I.C. 1414 SHARPE AVENUE HOMES,,,,TN,,US,11/21/25,MA-20251125 0094249,,Active,MA-20251125 0094249,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511250094249,1.76E+12
39662901,480360,O.I.C. HOMES AT 550 SOUTHCREST DRIVE,807 BRADFORD AVE,,NASHVILLE,TN,37204,US,11/19/25,MA-20251119 0092392,,Active,MA-20251119 0092392,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511190092392,1.76E+12
39662904,480363,O.I.C. HOMES AT 604 CROLEY DRIVE,PO BOX 331235,,NASHVILLE,TN,37203,US,11/18/25,MA-20251119 0092183,,Active,MA-20251119 0092183,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511190092183,1.76E+12
39662974,480371,O.I.C. RESIDENCES AT WAYCROSS,PO BOX 695,,MADISON,TN,37116,US,11/18/25,MA-20251120 0092830,,Active,MA-20251120 0092830,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511200092830,1.76E+12
39675704,481028,O.I.C. SIXHUNDREDELEVEN BOSCOBEL STREET,,,,TN,,US,11/18/25,MA-20260105 0000458,,Active,MA-20260105 0000458,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202601050000458,1.76E+12
39662971,480368,O.I.C. THIRTYEIGHTTWELVE TIGERBELLE DRIVE,635 7TH AVE S,,NASHVILLE,TN,37203,US,11/17/25,MA-20251120 0092846,,Active,MA-20251120 0092846,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511200092846,1.76E+12
39661993,480340,O.I.C. JOYWOOD SQUARE TOWNHOMES,5223 HEATHROW HILLS DR,,BRENTWOOD,TN,37027,US,11/14/25,MA-20251118 0091895,,Active,MA-20251118 0091895,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511180091895,1.76E+12
39661698,480314,O.I.C. ARTIST LOFTS CONDOMINIUM,400 OVERBECK LN STE 202,,NASHVILLE,TN,37204,US,11/13/25,MA-20251114 0090738,0,Active,MA-20251114 0090738,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511140090738,1.76E+12
39663015,480375,O.I.C. HOMES AT 4914 & 4916 GEORGIA AVENUE,5305 HEATHERWOOD DR,,BRENTWOOD,TN,37027,US,11/13/25,MA-20251121 0093087,0,Active,MA-20251121 0093087,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511210093087,1.76E+12
39661242,480269,O.I.C.  HOMES AT 519 HAMILTON AVENUE,PO BOX 158444,,NASHVILLE,TN,37215,US,11/12/25,MA-20251112 0090216,,Active,MA-20251112 0090216,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511120090216,1.76E+12
39661245,480272,O.I.C. 3914 CAYLOR DRIVE,3811 BEDFORD AVE STE 204,,NASHVILLE,TN,37215,US,11/12/25,MA-20251112 0090003,,Active,MA-20251112 0090003,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511120090003,1.76E+12
39661385,480281,O.I.C. TOWNHOMES AT 1515 4TH,542 SOUTHGATE AVE,,NASHVILLE,TN,37203,US,11/12/25,MA-20251113 0090361,,Active,MA-20251113 0090361,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511130090361,1.76E+12
39661704,480320,O.I.C. HOMES AT 1305 BESSIE AVENUE,4128 LEALAND LN,,NASHVILLE,TN,37204,US,11/11/25,MA-20250114 0091132,,Active,MA-20250114 0091132,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202501140091132,1.76E+12
39661708,480323,O.I.C. HOMES AT 1307 BESSIE AVENUE,4128 LEALAND LN,,NASHVILLE,TN,37204,US,11/11/25,MA-20251114 0091133,,Active,MA-20251114 0091133,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511140091133,1.76E+12
39661701,480317,O.I.C. HOMES AT 2516 SHERIDAN ROAD,2516 SHERIDAN RD,,NASHVILLE,TN,37206,US,11/10/25,MA-20251114 0090996,0,Active,MA-20251114 0090996,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511140090996,1.76E+12
39660785,479969,O.I.C. MARLOWE,2405 DICKERSON PIKE,,NASHVILLE,TN,37207,US,11/7/25,MA-20251107 0089016,,Active,MA-20251107 0089016,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511070089016,1.76E+12
39660388,479926,O.I.C. 633 CLARIDGE HOMES,7500 EASTGATE BLVD STE 100,,MOUNT JULIET,TN,37122,US,11/4/25,MA-20251104 0087950,,Active,MA-20251104 0087950,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511040087950,1.76E+12
39660692,479936,O.I.C. HOMES AT 183 LITTLE GREEN STREET,1728 14TH AVE N,,NASHVILLE,TN,37208,US,11/3/25,MA-20251106 0088523,,Active,MA-20251106 0088523,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511060088523,1.76E+12
39660394,479929,O.I.C. HOMES AT 5020 AND 5022 CHERRYWOOD DRIVE,2317 CRUZEN ST,,NASHVILLE,TN,37211,US,10/31/25,MA-20251104 0087793,,Active,MA-20251104 0087793,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511040087793,1.76E+12
39660739,479939,O.I.C. HOMES AT CROLEY DRIVE,PO BOX 331235,,NASHVILLE,TN,37203,US,10/31/25,MA-20251107 0089047,,Active,MA-20251107 0089047,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511070089047,1.76E+12
39661039,480131,O.I.C. ZERMATT,8585 E HARTFORD DR STE 118,,SCOTTSDALE,AZ,85255,US,10/31/25,MA-20251031 0086864,,Active,MA-20251031 0086864,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510310086864,1.76E+12
39659883,479733,O.I.C. 1805 HAILEY AVENUE,PO BOX 90680,,NASHVILLE,TN,37209,US,10/29/25,MA-20251029 0085997,,Active,MA-20251029 0085997,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510290085997,1.76E+12
39659897,479740,O.I.C. HOMES AT 601 S 11TH,3946 LAKEBROOK DR,,MURFREESBORO,TN,37130,US,10/29/25,MA-20251029 0086133,0,Active,MA-20251029 0086133,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510290086133,1.76E+12
39660170,479846,O.I.C. HOMES AT 1520 CORDER DRIVE,PO BOX 159342,,NASHVILLE,TN,37215,US,10/28/25,MA-20251103 0087222,,Active,MA-20251103 0087222,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511030087222,1.76E+12
39659741,479720,O.I.C. HOMES AT 507 VERITAS STREET,2200 BATAVIA SR,,NASHVILLE,TN,37208,US,10/27/25,MA-20251027 0085294,,Active,MA-20251027 0085294,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510270085294,1.76E+12
39659744,479723,O.I.C. HOMES AT 2434 CHAPMAN DRIVE,4618 LEALAND LN,,NASHVILLE,TN,37220,US,10/24/25,MA-20251027 0085443,,Active,MA-20251027 0085443,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510270085443,1.76E+12
39659771,479726,O.I.C. HOMES AT 4028 NEBRASKA AVENUE,4913 INDIANA AVE,,NASHVILLE,TN,37209,US,10/24/25,MA-20251028 0085595,,Active,MA-20251028 0085595,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510280085595,1.76E+12
39659781,479730,O.I.C. HOMES AT 525 VERITAS STREET,2500 21ST AVE S,,NASHVILLE,TN,37212,US,10/24/25,MA-20251028 0085886,,Active,MA-20251028 0085886,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510280085886,1.76E+12
39659887,479736,O.I.C. EIGHTEEN TEN MANCHESTER AVENUE,406 W BURTON ST,,MURFREESBORO,TN,37130,US,10/24/25,MA-20251029 0086027,,Active,MA-20251029 0086027,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510290086027,1.76E+12
39659907,479743,O.I.C. EIGHTEEN-EIGHT MANCHESTER AVENUE,406 W BURTON ST,,MURFREESBORO,TN,37130,US,10/24/25,MA-20251029 0086028,,Active,MA-20251029 0086028,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510290086028,1.76E+12
39659629,479706,O.I.C. HOMES AT 1124 CAHAL,1124 CAHAL AVE,,NASHVILLE,TN,37206,US,10/23/25,MA-20251024 0084692,,Active,MA-20251024 0084692,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510240084692,1.76E+12
39659733,479712,O.I.C RIVER DRIVE COTTAGES,5710 LAKEMONT DR,,SMYRNA,TN,37167,US,10/23/25,MA-20251027 0085139,,Active,MA-20251027 0085139,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510270085139,1.76E+12
39660240,479847,O.I.C. NORTHVIEW COTTAGES AND TOWNHOMES,267 S DEAN ST,,ENGLEWOOD,NJ,7631,US,10/23/25,MA-20251103 0087563,,Active,MA-20251103 0087563,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511030087563,1.76E+12
39657527,479386,O.I.C. HOMES AT 1041 1ST AVENUE SOUTH,1206 ELISHA CT,,LA VERGNE,TN,37086,US,10/21/25,MA-20251022 0083950,,Active,MA-20251022 0083950,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510220083950,1.76E+12
39657334,479375,O.I.C. HOMES AT 1055 ZOPHI ST,116 AGNES RD,,KNOXVILLE,TN,37919,US,10/20/25,MA-20251020 0083465,,Active,MA-20251020 0083465,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510200083465,1.76E+12
39657196,479354,O.I.C. 5804 CARL PLACE,305 JEFFERSON ST STE 125,,NASHVILLE,TN,37208,US,10/17/25,MA-20251017 0083001,0,Active,MA-20251017 0083001,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510170083001,1.76E+12
39657331,479372,O.I.C. HOMES AT 1518 HAYDEN DRIVE,1770 FORSYTH PARK DR,,BRENTWOOD,TN,37027,US,10/17/25,MA-20251020 0083283,,Active,MA-20251020 0083283,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510200083283,1.76E+12
39657360,479381,O.I.C. NINEHUNDREDTHIRTYFOUR CRESCENT HILL ROAD,934 CRESCENT HILL RD,,NASHVILLE,TN,37206,US,10/17/25,MA-20251021 0083642,0,Active,MA-20251021 0083642,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510210083642,1.76E+12
39657357,479378,O.I.C. TEN TWENTY FOUR CAHAL AVENUE,1672 HAYES ST,,HOLLYWOOD,FL,33020,US,10/16/25,MA-20251021 0083640,,Active,MA-20251021 0083640,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510210083640,1.76E+12
39657328,479369,O.I.C. SONRISA,PO BOX 1955,,MOUNT JULIET,TN,37122,US,10/15/25,MA-20251020 0083183,,Active,MA-20251020 0083183,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510200083183,1.76E+12
39616325,479311,O.I.C. BARCLAY HOMES,,,,TN,,US,10/13/25,MA-20251015 0082115,,Active,MA-20251015 0082115,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510150082115,1.76E+12
39616375,479342,O.I.C. RIVA RIDGE TOWNHOMES,4423 LEALAND LN,,NASHVILLE,TN,37204,US,10/13/25,MA-20251015 0082196,,Active,MA-20251015 0082196,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510150082196,1.76E+12
39616041,479302,O.I.C. TWENTYEIGHT TWENTY BRONTE AVENUE,1659 CONSTELLATION CT,,MURFREESBORO,TN,37129,US,10/9/25,MA-20251001 0081529,,Active,MA-20251001 0081529,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510010081529,1.76E+12
39616045,479305,O.I.C. FIVE-EIGHTEEN AMERICAN ROAD,209 WOODFORD PL,,NASHVILLE,TN,37215,US,10/9/25,MA-20251013 0081568,0,Active,MA-20251013 0081568,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510130081568,1.76E+12
39616407,479345,O.I.C. HOMES AT 2308 & 2310 EASTLAND AVENUE,PO BOX 159342,,NASHVILLE,TN,37215,US,10/8/25,MA-20251016 0082369,,Active,MA-20251016 0082369,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510160082369,1.76E+12
39615588,479275,O.I.C. CABOT TOWNHOMES,680 ROLLING HILLS RD,,VISTA,CA,92081,US,10/7/25,MA-20251007 0079950,,Active,MA-20251007 0079950,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510070079950,1.76E+12
39615607,479291,O.I.C. 1535 SPRINGFIELD HWY,1043 DEER HARBOUR RD,,BRISTOL,TN,37620,US,10/7/25,MA-20251007 0080051,,Active,MA-20251007 0080051,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510070080051,1.76E+12
39615043,479070,O.I.C. MCMURRAY HOMES,2016 PULLEY PL,,NOLENSVILLE,TN,37135,US,10/2/25,MA-20251002 0078600,,Active,MA-20251002 0078600,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510020078600,1.76E+12
39615046,479073,O.I.C. MCMURRAY COTTAGES,2016 PULLEY PL,,NOLENSVILLE,TN,37135,US,10/2/25,MA-20251002 0078631,,Active,MA-20251002 0078631,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510020078631,1.76E+12
39661020,480104,O.I.C. ELLE CONDOMINIUM,4303 GALLATIN PIKE,,NASHVILLE,TN,37216,US,10/2/25,MA-20251105 0088132,0,Active,MA-20251105 0088132,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511050088132,1.76E+12
39616312,479308,O.I.C. 1916 9TH AVENUE NORTH,1905 9TH AVE N #1B,,NASHVILLE,TN,37208,US,10/1/25,MA-20251015 0082077,,Active,MA-20251015 0082077,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510150082077,1.76E+12
39657538,479389,O.I.C. HOMES AT 328 AND 330 WILLARD DRIVE,328 WILLARD DR,,NASHVILLE,TN,37211,US,10/1/25,MA-20251022 0084299,,Active,MA-20251022 0084299,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510220084299,1.76E+12
39615062,479080,O.I.C. HOMES AT 615 AND 617 ROSEBANK AVENUE,1623 BROOKVALLEY CIR,,MOUNT JULIET,TN,37122,US,9/30/25,MA-20251002 0078643,,Active,MA-20251002 0078643,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510020078643,1.76E+12
39615089,479083,O.I.C. HOMES AT 4424 LEALAND LANE,1770 FORSYTH PARK DR,,BRENTWOOD,TN,37027,US,9/30/25,MA-20251002 0078747,,Active,MA-20251002 0078747,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510020078747,1.76E+12
39659730,479709,O.I.C. TAYLOR & 4TH,140 SW 51ST CT,,CORAL GABLES,FL,33134,US,9/30/25,MA-20251027 0085133,0,Active,MA-20251027 0085133,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510270085133,1.76E+12
39614285,478999,O.I.C. HOMES AT 6521 AND 6523 FIRESTONE COURT,PO BOX 159342,,NASHVILLE,TN,37215,US,9/25/25,MA-20250929 0077242,,Active,MA-20250929 0077242,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509290077242,1.76E+12
39614295,479005,O.I.C. HOMES AT 1508 GASSER DRIVE,1508 GASSER DR,,ANTIOCH,TN,37013,US,9/25/25,MA-20250929 0077351,,Active,MA-20250929 0077351,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509290077351,1.76E+12
39615057,479077,O.I.C. HERMITAGE COTTAGES,3250 DICKERSON RD STE 212,,NASHVILLE,TN,37207,US,9/25/25,MA-20251002 0078531,0,Active,MA-20251002 0078531,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202510020078531,1.76E+12
39614161,478974,O.I.C. 2717 LAKELAND TOWNHOMES,2717 LAKELAND DR,,NASHVILLE,TN,37214,US,9/24/25,MA-20250926 0076932,,Active,MA-20250926 0076932,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509260076932,1.76E+12
39614931,479047,O.I.C.  STOKERS VILLAGE TOWNHOMES,7100 COMMERCE WAY STE 180,,BRENTWOOD,TN,37027,US,9/23/25,MA-20250925 0076706,,Active,MA-20250925 0076706,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509250076706,1.76E+12
39614932,479033,O.I.C. STOKERS VILLAGE TOWNHOMES,7100 COMMERCE WAY STE 180,,BRENTWOOD,TN,37027,US,9/23/25,MA-20250925 0076706,,Active,MA-20250925 0076706,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509250076706,1.76E+12
39614933,479027,O.I.C.  STOKERS VILLAGE TOWNHOMES,7100 COMMERCE WAY STE 180,,BRENTWOOD,TN,37027,US,9/23/25,MA-20250925 0076706,,Active,MA-20250925 0076706,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509250076706,1.76E+12
39614934,479035,O.I.C. STOKERS VILLAGE TOWNHOMES,7100 COMMERCE WAY STE 180,,BRENTWOOD,TN,37027,US,9/23/25,MA-20250925 0076706,,Active,MA-20250925 0076706,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509250076706,1.76E+12
39613697,478965,O.I.C. HOMES AT 718 NEWHALL DRIVE,844 MAIN ST,,NASHVILLE,TN,37206,US,9/19/25,MA-20250922 0075540,,Active,MA-20250922 0075540,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509220075540,1.76E+12
39613702,478968,O.I.C. HOMES AT 662 VERNON AVENUE,1118 LOCHLAND DR,,GALLATIN,TN,37066,US,9/19/25,MA-20250922 0075545,,Active,MA-20250922 0075545,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509220075545,1.76E+12
39614291,479002,O.I.C. HOMES AT 1906 OVERTON STREET,2331 N MT JULIET RD STE 202,,MOUNT JULIET,TN,37122,US,9/19/25,MA-20250929 0077249,,Active,MA-20250929 0077249,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509290077249,1.76E+12
39613424,478954,O.I.C. HOMES AT 1831 10TH AVE N,270 CORNICE DR,,LA VERGNE,TN,37086,US,9/18/25,MA-20250918 0074797,,Active,MA-20250918 0074797,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509180074797,1.76E+12
39613825,478971,O.I.C. RIVER DRIVE HOMES,5710 LAKEMONT DR,,SMYRNA,TN,37167,US,9/18/25,MA-20250923 0075668,,Active,MA-20250923 0075668,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509230075668,1.76E+12
39614246,478996,O.I.C. HOMES AT 401 WELSHWOOD DRIVE,4117 HILLSBORO PIKE STE 103-265,,NASHVILLE,TN,37215,US,9/17/25,MA-20250925 0076495,,Active,MA-20250925 0076495,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509250076495,1.76E+12
39660689,479933,O.I.C. HOMES AT 1015 MONROE STREET,9303 OLD SMYRNA RD,,BRENTWOOD,TN,37027,US,9/17/25,MA-20251106 0088608,,Active,MA-20251106 0088608,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202511060088608,1.76E+12
39613202,478948,O.I.C. HOMES AT 731 CROLEY DRIVE,123 43RD AVE N,,NASHVILLE,TN,37209,US,9/16/25,MA-20250916 0073954,0,Active,MA-20250916 0073954,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509160073954,1.76E+12
39613069,478945,O.I.C. HOMES AT 2607 TIFFANY DRIVE,PO BOX 159342,,NASHVILLE,TN,37215,US,9/12/25,MA-20250915 0073273,,Active,MA-20250915 0073273,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509150073273,1.76E+12
39612864,478831,O.I.C. KALEIDOSCOPE,124 S 17TH ST,,NASHVILLE,TN,37206,US,9/10/25,MA-20250912 0073032,,Active,MA-20250912 0073032,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509120073032,1.76E+12
39670651,480599,O.I.C. BURKITT RIDGE TOWNHOMES,,,,,,US,9/8/25,MA-20250911 0072661,,Active,MA-20250911 0072661,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509110072661,1.76E+12
39611498,478781,O.I.C. 3433 STOKESMONT ROAD COMMONS,2015 GREENWOOD AVE,,NASHVILLE,TN,37206,US,9/4/25,MA-20250904 0070727,,Active,MA-20250904 0070727,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509040070727,1.76E+12
39611474,478775,O.I.C. HOMES AT 1126 & 1128 BILTMORE DRIVE,4301 HILLSBORO PIKE STE 300,,NASHVILLE,TN,37215,US,9/3/25,MA-20250904 0070623,0,Active,MA-20250904 0070623,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509040070623,1.76E+12
39611487,478778,O.I.C. SIXHUNDREDFORTYFOUR WEST GREEN LANE,6108 BRYAN PL,,BRENTWOOD,TN,37027,US,9/3/25,MA-20250904 0070693,,Active,MA-20250904 0070693,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509040070693,1.76E+12
39611516,478784,O.I.C. HOMES AT 329 MCKENNELL AVENUE,4414 BRUSH HILL RD,,NASHVILLE,TN,37216,US,9/3/25,MA-20250904 0070474,,Active,MA-20250904 0070474,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509040070474,1.76E+12
39612425,478823,O.I.C. HOMES AT 2232 MONTICELLO,5070 DRAKES BRANCH RD,,NASHVILLE,TN,37218,US,9/3/25,MA-20250908 0071471,,Active,MA-20250908 0071471,Master Deed,https://www.davidsonportal.com/gis/file.php?file=202509080071471,1.76E+12
